ds,it,ndpso_time,fairspan_time
123,6,3512,0
123,7,3508,0
123,8,3580,0
123,9,3564,0
124,0,3552,0
124,1,3539,0
124,2,3490,0
124,3,3544,0
124,4,3550,0
124,5,3461,0
124,6,3463,0
124,7,3532,0
124,8,3519,0
124,9,3530,0
125,0,3489,0
125,1,3479,0
125,2,3515,0
125,3,3492,0
125,4,3510,0
125,5,3502,0
125,6,3432,0
125,7,3519,0
125,8,3441,0
125,9,3453,0
126,0,3462,0
126,1,3480,0
126,2,3465,0
126,3,3423,0
126,4,3475,0
126,5,3477,0
126,6,3493,0
126,7,3460,0
126,8,3467,0
126,9,3490,0
127,0,3543,0
127,1,3601,0
127,2,3568,0
127,3,3567,0
127,4,3570,0
127,5,3484,0
127,6,3506,0
127,7,3548,0
127,8,3555,0
127,9,3567,0
128,0,3608,0
128,1,3594,0
128,2,3643,0
128,3,3601,0
128,4,3709,0
128,5,3651,0
128,6,3617,0
128,7,3620,0
128,8,3648,0
128,9,3617,0
129,0,3675,0
129,1,3697,0
129,2,3707,0
129,3,3685,0
129,4,3660,0
129,5,3711,0
129,6,3714,0
129,7,3711,0
129,8,3706,0
129,9,3704,0
130,0,3583,0
130,1,3538,0
130,2,3594,0
130,3,3595,0
130,4,3572,0
130,5,3563,0
130,6,3513,0
130,7,3580,0
130,8,3595,0
130,9,3559,0
131,0,3651,0
131,1,3640,0
131,2,3623,0
131,3,3622,0
131,4,3767,0
131,5,3697,0
131,6,3724,0
131,7,3779,0
131,8,3808,0
131,9,3749,0
132,0,3954,0
132,1,3779,0
132,2,3872,0
132,3,3818,0
132,4,3802,0
132,5,3824,0
132,6,3766,0
132,7,3761,0
132,8,3750,0
132,9,3804,0
133,0,3656,0
133,1,3664,0
133,2,3588,0
133,3,3590,0
133,4,3601,0
133,5,3693,0
133,6,3548,0
133,7,3543,0
133,8,3650,0
133,9,3607,0
134,0,3705,1
134,1,3738,1
134,2,3702,1
134,3,3687,1
134,4,3716,1
134,5,3676,1
134,6,3692,1
134,7,3661,1
134,8,3742,1
134,9,3701,1
135,0,3568,0
135,1,3565,0
135,2,3644,0
135,3,3605,0
135,4,3650,0
135,5,3577,0
135,6,3558,0
135,7,3575,0
135,8,3576,0
135,9,3661,0
145,0,6638,0
145,1,6647,0
145,2,6709,0
145,3,6633,0
145,4,6593,0
145,5,6627,0
145,6,6597,0
145,7,6657,0
145,8,6587,0
145,9,6682,0
146,0,6433,0
146,1,6443,0
146,2,6426,0
146,3,6444,0
146,4,6448,0
146,5,6469,0
146,6,6426,0
146,7,6417,0
146,8,6440,0
146,9,6412,0
147,0,6428,0
147,1,6434,0
147,2,6398,0
147,3,6384,0
147,4,6416,0
147,5,6426,0
147,6,6426,0
147,7,6447,0
147,8,6442,0
147,9,6416,0
148,0,6477,0
148,1,6442,0
148,2,6456,0
148,3,6467,0
148,4,6458,0
148,5,6475,0
148,6,6440,0
148,7,6455,0
148,8,6460,0
148,9,6458,0
149,0,6389,0
149,1,6336,0
149,2,6372,0
149,3,6340,0
149,4,6351,0
149,5,6351,0
149,6,6274,0
149,7,6332,0
149,8,6401,0
149,9,6331,0
150,0,6464,0
150,1,6555,0
150,2,6501,0
150,3,6503,0
150,4,6525,0
150,5,6480,0
150,6,6458,0
150,7,6426,0
150,8,6480,0
150,9,6433,0
151,0,6415,0
151,1,6301,0
151,2,6349,0
151,3,6345,0
151,4,6358,0
151,5,6347,0
151,6,6324,0
151,7,6316,0
151,8,6395,0
151,9,6238,0
152,0,6489,0
152,1,6510,0
152,2,6522,0
152,3,6472,0
152,4,6481,0
152,5,6452,0
152,6,6463,0
152,7,6455,0
152,8,6614,0
152,9,6483,0
153,0,6457,0
153,1,6472,0
153,2,6523,0
153,3,6499,0
153,4,6504,0
153,5,6472,0
153,6,6451,0
153,7,6547,0
153,8,6465,0
153,9,6482,0
154,0,6303,0
154,1,6328,0
154,2,6357,0
154,3,6276,0
154,4,6268,0
154,5,6295,0
154,6,6298,0
154,7,6262,0
154,8,6289,0
154,9,6315,0
155,0,6348,0
155,1,6424,0
155,2,6347,0
155,3,6401,0
155,4,6387,0
155,5,6462,0
155,6,6382,0
155,7,6355,0
155,8,6418,0
155,9,6372,0
156,0,6358,1
156,1,6405,1
156,2,6380,1
156,3,6355,1
156,4,6390,1
156,5,6370,1
156,6,6354,1
156,7,6339,1
156,8,6396,1
156,9,6426,1
157,0,6484,0
157,1,6576,0
157,2,6505,0
157,3,6608,0
157,4,6517,0
157,5,6555,0
157,6,6494,0
157,7,6530,0
157,8,6560,0
157,9,6525,0
158,0,6549,0
158,1,6670,0
158,2,6541,0
158,3,6526,0
158,4,6542,0
158,5,6552,0
158,6,6533,0
158,7,6592,0
158,8,6544,0
158,9,6530,0
159,0,6471,0
159,1,6546,0
159,2,6416,0
159,3,6430,0
159,4,6436,0
159,5,6427,0
159,6,6432,0
159,7,6533,0
159,8,6415,0
159,9,6481,0
160,0,6598,0
160,1,6553,0
160,2,6594,0
160,3,6634,0
160,4,6574,0
160,5,6538,0
160,6,6579,0
160,7,6570,0
160,8,6536,0
160,9,6590,0
161,0,6419,1
161,1,6394,1
161,2,6375,1
161,3,6421,1
161,4,6486,1
161,5,6483,1
161,6,6446,1
161,7,6433,1
161,8,6421,1
161,9,6387,1
162,0,6391,0
162,1,6338,0
162,2,6417,0
162,3,6320,0
162,4,6357,0
162,5,6348,0
162,6,6345,0
162,7,6375,0
162,8,6401,0
162,9,6407,0
163,0,786,0
163,1,786,0
163,2,777,0
163,3,760,0
163,4,752,0
163,5,771,0
163,6,788,0
163,7,772,0
163,8,759,0
163,9,767,0
164,0,745,0
164,1,770,0
164,2,746,0
164,3,775,0
164,4,766,0
164,5,760,0
164,6,763,0
164,7,773,0
164,8,782,0
164,9,749,0
165,0,752,1
165,1,737,1
165,2,748,1
165,3,758,1
165,4,739,1
165,5,749,1
165,6,766,1
165,7,769,1
165,8,751,1
165,9,747,1
166,0,789,0
166,1,756,0
166,2,751,0
166,3,773,0
166,4,756,0
166,5,748,0
166,6,780,0
166,7,729,0
166,8,791,0
166,9,794,0
167,0,775,0
167,1,773,0
167,2,775,0
167,3,772,0
167,4,777,0
167,5,774,0
167,6,771,0
167,7,776,0
167,8,782,0
167,9,778,0
168,0,740,0
168,1,760,0
168,2,749,0
168,3,767,0
168,4,753,0
168,5,766,0
168,6,735,0
168,7,760,0
168,8,746,0
168,9,751,0
169,0,749,0
169,1,736,0
169,2,765,0
169,3,754,0
169,4,739,0
169,5,738,0
169,6,754,0
169,7,739,0
169,8,748,0
169,9,767,0
170,0,758,0
170,1,776,0
170,2,765,0
170,3,775,0
170,4,748,0
170,5,743,0
170,6,774,0
170,7,785,0
170,8,761,0
170,9,753,0
171,0,741,0
171,1,758,0
171,2,741,0
171,3,740,0
171,4,755,0
171,5,756,0
171,6,747,0
171,7,737,0
171,8,776,0
171,9,746,0
172,0,1291,0
172,1,1333,0
172,2,1352,0
172,3,1229,0
172,4,1283,0
172,5,1302,0
172,6,1310,0
172,7,1218,0
172,8,1217,0
172,9,1263,0
173,0,1349,0
173,1,1311,0
173,2,1348,0
173,3,1358,0
173,4,1271,0
173,5,1425,0
173,6,1345,0
173,7,1290,0
173,8,1415,0
173,9,1295,0
174,0,1309,0
174,1,1370,0
174,2,1429,0
174,3,1345,0
174,4,1300,0
174,5,1294,0
174,6,1366,0
174,7,1368,0
174,8,1290,0
174,9,1303,0
175,0,1169,0
175,1,1350,0
175,2,1253,0
175,3,1340,0
175,4,1234,0
175,5,1342,0
175,6,1327,0
175,7,1202,0
175,8,1326,0
175,9,1199,0
176,0,1178,0
176,1,1303,0
176,2,1175,0
176,3,1252,0
