#id,fairspan_max_span,ndpso_avg_max_span,ndpso_min_max_span,ndpso_max_max_span,fairspan_total_time,ndpso_avg_pre_time,ndpso_min_pre_time,ndpso_max_pre_time,ndpso_avg_post_time,ndpso_min_post_time,ndpso_max_post_time,ndpso_avg_total_time,ndpso_amin_total_time,ndpso_max_total_time
6395,0.5213675214,0.5978418698,0.5213675214,0.7011494253,0,6528.5,5327,10210,0,0,0,6528.5,5327,10210
6396,0.3260869565,0.3266346783,0.3157894737,0.347826087,0,6169.8,5458,8603,0,0,0,6169.8,5458,8603
6397,1.4193548387,1.6974994071,1.5357142857,1.9111111111,0,6270.2,5559,10465,0,0,0,6270.2,5559,10465
6398,0.694214876,0.7039264305,0.6692913386,0.7589285714,0,6165.4,5747,6594,0,0,0,6165.4,5747,6594
6399,0.512195122,0.6123277403,0.4789473684,0.7222222222,1,5931,5509,6285,0,0,0,5931,5509,6285
6400,0.96,0.8,0.8,0.8,0,329.4,323,335,0,0,0,329.4,323,335
6401,0.3851132686,0.3851132686,0.3851132686,0.3851132686,0,325,322,331,0,0,0,325,322,331
6402,0.2378787879,0.2015151515,0.2015151515,0.2015151515,0,328.5,322,347,0,0,0,328.5,322,347
6403,2.4885496183,1.8522727273,1.8522727273,1.8522727273,0,324.1,322,328,0,0,0,324.1,322,328
6404,0.9189873418,0.9088607595,0.9088607595,0.9088607595,0,327.5,323,335,0,0,0,327.5,323,335
6405,0.6053097345,0.5551948052,0.5551948052,0.5551948052,1,330.6,327,335,0,0,0,330.6,327,335
6406,9.3571428571,8.3174603175,8.3174603175,8.3174603175,0,327.7,324,332,0,0,0,327.7,324,332
6407,2.7537537538,1.9069069069,1.9069069069,1.9069069069,0,335.3,330,344,0,0,0,335.3,330,344
6408,1.0370879121,1.0370879121,1.0370879121,1.0370879121,0,320.3,316,344,0,0,0,320.3,316,344
6409,0.520661157,0.5246834321,0.520661157,0.5407725322,0,898.2,859,932,0,0,0,898.2,859,932
6410,0.1394422311,0.1394422311,0.1394422311,0.1394422311,0,1022.6,949,1512,0,0,0,1022.6,949,1512
6411,0.2537313433,0.2537313433,0.2537313433,0.2537313433,0,889.4,860,931,0,0,0,889.4,860,931
6412,1.8197424893,1.8228799763,1.8197424893,1.8275862069,0,930,857,988,0,0,0,930,857,988
6413,0.4133064516,0.4133064516,0.4133064516,0.4133064516,0,850.4,816,890,0,0,0,850.4,816,890
6414,0.27100271,0.271874467,0.27100271,0.2797202797,0,881.5,849,933,0,0,0,881.5,849,933
6415,2.1857142857,2.2109107721,2.1857142857,2.3952380952,0,954.5,924,1163,0,0,0,954.5,924,1163
6416,1.388185654,1.388185654,1.388185654,1.388185654,0,938.2,901,978,0,0,0,938.2,901,978
6417,0.9005602241,0.9005602241,0.9005602241,0.9005602241,0,895.5,836,921,0.1,0,1,895.6,836,921
6418,0.4034334764,0.4034334764,0.4034334764,0.4034334764,0,911.2,889,939,0,0,0,911.2,889,939
6419,0.3920792079,0.3963597818,0.3920792079,0.4038054968,0,1035.6,815,1348,0.1,0,1,1035.7,815,1348
6420,0.3018617021,0.3018617021,0.3018617021,0.3018617021,0,868.2,835,904,0,0,0,868.2,835,904
6421,0.1086956522,0.1102023246,0.1086956522,0.1237623762,1,964.8,888,1418,0,0,0,964.8,888,1418
6422,0.6713709677,0.6724582082,0.6713709677,0.6740890688,0,1051.8,780,1408,0,0,0,1051.8,780,1408
6423,0.550397878,0.5540082523,0.550397878,0.5555555556,0,968,775,1255,0,0,0,968,775,1255
6424,2.5019920319,2.5363944223,2.5019920319,2.6166666667,0,894.4,865,936,0,0,0,894.4,865,936
6425,0.8441814596,0.8441814596,0.8441814596,0.8441814596,0,1024.4,821,1470,0,0,0,1024.4,821,1470
6426,0.6569148936,0.6569148936,0.6569148936,0.6569148936,0,835.2,794,878,0,0,0,835.2,794,878
6427,1.8008298755,1.4970080967,1.4455958549,1.5958549223,0,2408.2,2393,2430,0,0,0,2408.2,2393,2430
6428,1.1662971175,0.9032310511,0.8691796009,0.9345794393,0,2503.9,2451,2661,0,0,0,2503.9,2451,2661
6429,0.5901639344,0.5905689599,0.5642857143,0.6120218579,0,3370.3,2416,3766,0,0,0,3370.3,2416,3766
6430,4.1907216495,3.6989861162,3.4066390041,4.03125,0,2500.6,2460,2567,0.1,0,1,2500.7,2460,2568
6431,1.722,1.5931333333,1.436,1.682,0,2445.4,2401,2546,0,0,0,2445.4,2401,2546
6432,1.5458823529,1.3717468982,1.2727272727,1.445026178,0,2473,2428,2508,0,0,0,2473,2428,2508
6433,7.9117647059,6.7114590636,6.3103448276,7.0344827586,0,2457,2411,2495,0,0,0,2457,2411,2495
6434,3.3592017738,2.9206029585,2.6936936937,3.1840354767,0,2449.3,2397,2476,0,0,0,2449.3,2397,2476
6435,2.8112094395,2.5272864931,2.4218289086,2.71875,0,2421.9,2408,2451,0,0,0,2421.9,2408,2451
6436,0.9146341463,0.8947074093,0.8893280632,0.9109311741,0,3885.5,3673,4119,0,0,0,3885.5,3673,4119
6437,0.5968063872,0.5610635999,0.4874715262,0.6563876652,0,3758.1,3659,3873,0,0,0,3758.1,3659,3873
6438,0.3832020997,0.4680392635,0.3762376238,0.5802139037,0,3869.9,3719,4026,0,0,0,3869.9,3719,4026
6439,1.9678899083,2.348438351,2.0404624277,2.6343283582,0,4129.6,3605,6135,0.1,0,1,4129.7,3605,6135
6440,0.9304932735,0.8957214106,0.8350100604,0.9766763848,0,3840.5,3527,4400,0,0,0,3840.5,3527,4400
6441,0.7093862816,0.6729617253,0.5788005579,0.7996146435,0,4030.6,3908,4127,0,0,0,4030.6,3908,4127
6442,3.0633484163,3.2356359121,2.9563318777,3.8033707865,0,3907,3629,4098,0,0,0,3907,3629,4098
6443,1.5555555556,1.6078689671,1.4207188161,1.7872340426,0,3889.5,3516,5423,0,0,0,3889.5,3516,5423
6444,0.9131652661,0.9786509852,0.8787061995,1.0848585691,0,4314.8,3965,6384,0,0,0,4314.8,3965,6384
6445,1.0757575758,1.0470673131,0.9242424242,1.1576086957,0,3727.5,3619,3859,0,0,0,3727.5,3619,3859
6446,0.4483516484,0.4720629893,0.421978022,0.5811965812,0,3711.5,3516,3848,0,0,0,3711.5,3516,3848
6447,0.290647482,0.3532572467,0.3030888031,0.4088176353,0,3616,3460,3770,0,0,0,3616,3460,3770
6448,2.75,2.4726413482,2.1030927835,2.7852348993,0,3542.5,3368,3646,0,0,0,3542.5,3368,3646
6449,1.0505747126,1.0193543697,0.9047619048,1.1065375303,0,3614.5,3469,4022,0,0,0,3614.5,3469,4022
6450,0.6005291005,0.6101165612,0.5973684211,0.6403385049,0,3745.6,3587,3849,0,0,0,3745.6,3587,3849
6451,3.7415730337,3.4899671076,3.1301369863,3.9865771812,0,3709.1,3594,3843,0,0,0,3709.1,3594,3843
6452,1.5827505828,1.4819228676,1.402892562,1.5827505828,0,3629.8,3468,3722,0,0,0,3629.8,3468,3722
6453,0.9812138728,0.9547555214,0.9225543478,0.9812138728,0,4263.1,3577,6275,0,0,0,4263.1,3577,6275
6454,3.3046357616,3.4636835333,3.2649006623,3.6723163842,0,5597.7,4957,8050,0,0,0,5597.7,4957,8050
6455,1.1270983213,1.1218184531,1.0454545455,1.1797752809,0,5130.8,5081,5209,0,0,0,5130.8,5081,5209
6456,1.0616113744,1.140393604,1.0300157978,1.339869281,0,5189.6,5116,5270,0,0,0,5189.6,5116,5270
6457,5.1046025105,5.4910103698,5.1617647059,6.1578947368,0,5395.8,5140,7147,0,0,0,5395.8,5140,7147
6458,3.2651162791,3.5217739926,3.2388059701,4.0471698113,0,5523.7,5095,7288,0,0,0,5523.7,5095,7288
6459,1.2546583851,1.3561026984,1.262992126,1.5699300699,0,5223.1,5168,5296,0,0,0,5223.1,5168,5296
6460,8.2698412698,7.5855097218,6.9178082192,8.0515463918,1,5703,5172,7557,0.1,0,1,5703.1,5172,7557
6461,3.914,3.8055578151,3.475862069,4.2945205479,0,5483.3,5142,7769,0,0,0,5483.3,5142,7769
6462,2.1985815603,2.1895950207,2.1001821494,2.2533333333,0,5533.8,5031,7364,0,0,0,5533.8,5031,7364
6463,1.5850622407,1.7237643146,1.4397163121,2.5,0,8052,6993,10633,0,0,0,8052,6993,10633
6464,0.6490486258,0.6951559481,0.6293279022,0.7801724138,0,7767.7,7198,11217,0,0,0,7767.7,7198,11217
6465,0.6201298701,0.5971284648,0.5561097257,0.7056962025,0,7137.1,6689,7492,0,0,0,7137.1,6689,7492
6466,2.561752988,2.3965804879,2.0357142857,2.6052631579,0,7445.9,7200,7601,0,0,0,7445.9,7200,7601
6467,1.2580645161,1.2070506421,1.0571428571,1.3111782477,0,7429.7,7254,7685,0,0,0,7429.7,7254,7685
6468,1.2160583942,1.3090594316,1.1651917404,1.5824175824,0,7746.4,7285,9888,0,0,0,7746.4,7285,9888
6469,4.008097166,3.4016296881,3.0817307692,3.7884615385,1,7417.8,7027,8528,0.1,0,1,7417.9,7027,8528
6470,2.1265432099,2.1217215522,1.9760479042,2.3115577889,0,7686.4,6959,10489,0,0,0,7686.4,6959,10489
6471,1.4266467066,1.3339036746,1.2354085603,1.5192802057,0,7364.6,7112,7709,0,0,0,7364.6,7112,7709
6472,1.6,1.4679464956,1.308,1.6695652174,0,6389.7,6211,6573,0,0,0,6389.7,6211,6573
6473,0.8642857143,0.7533148449,0.6902356902,0.797752809,0,6497,6217,6683,0,0,0,6497,6217,6683
6474,0.4737550471,0.4437797483,0.408203125,0.4731457801,0,6371.5,6081,6493,0,0,0,6371.5,6081,6493
6475,3.3195020747,2.7092963586,2.5448275862,3.1764705882,0,7255.6,6391,10624,0,0,0,7255.6,6391,10624
6476,1.6729559748,1.4864048362,1.324,1.7151162791,0,6515.3,6125,7684,0,0,0,6515.3,6125,7684
6477,1.0854700855,0.9669144404,0.8513157895,1.08,0,6532.2,6371,6727,0,0,0,6532.2,6371,6727
6478,4.6651162791,5.664549678,5.3389830508,5.9807692308,0,6472.2,6269,6613,0,0,0,6472.2,6269,6613
6479,2.7673378076,3.1428528353,2.7469879518,3.7342657343,0,6282.2,6162,6369,0,0,0,6282.2,6162,6369
6480,1.9731343284,1.9660938834,1.7612293144,2.2391304348,0,6359.2,6240,6514,0,0,0,6359.2,6240,6514
