#dataset_conf_id,mypso_avg_span,ndpso_avg_span
2450,21.666666666666664,21.666666666666664
2451,2.625,2.625
2452,13.5,13.5
2453,44.77777777777778,44.77777777777778
2454,13.125,13.3
2455,139.5,139.5
2456,8.444444444444445,8.444444444444445
2457,22.75,22.75
2458,34.25,34.25
2459,14.777777777777775,14.777777777777775
2460,5.866666666666666,6.013333333333334
2461,30.5,30.5
2462,39.875,39.875
2463,5.6875,5.6875
2464,155.25,155.25
2465,35.88888888888889,35.88888888888889
2466,19.199999999999996,19.199999999999996
2467,13.5,13.5
2468,21.11111111111111,21.11111111111111
2469,10.5625,10.5625
2470,11.5,11.5
2471,6.555555555555555,6.555555555555555
2472,2.75,2.75
2473,114.5,114.5
2474,37.55555555555555,37.55555555555555
2475,10.625,10.695833333333335
2476,22,22
2477,5.555555555555556,5.625000000000001
2478,4.375,4.375
2479,32.25,32.25
2480,33.66666666666667,33.66666666666667
2481,4.3125,4.3125
2482,136.25,136.25
2483,66.1111111111111,66.1111111111111
2484,20.25,20.25
2485,268,268
2486,15.875,15.875
2487,25.09090909090909,25.09090909090909
2488,237,237
2489,88.83333333333334,88.83333333333334
2490,10.461538461538463,10.461538461538463
2491,134.66666666666669,134.66666666666669
2492,858,858
2493,28.375,28.375
2500,163.75,163.75
2501,17.88888888888889,17.88888888888889
2505,6.200000000000001,6.200000000000001
2512,0.9269102990033222,1.03901551789394
2513,1.762295081967213,3.340425531914893
2514,0.8195488721804509,1.3328125
2515,3.258278145695364,3.7003311258278146
2516,2.059917355371901,2.264925345184889
2517,0.6288117770767612,0.7483884816437072
2518,5.2894736842105265,11.000091692646247
2519,2.8162878787878785,8.119444444444445
2520,0.9738339021615474,1.1386106696541005
2521,0.4869616972280129,0.7509804172716471
2522,0.15142879924145358,0.2382946403861182
2523,0.2045200689192826,0.3023061231870423
2524,3.2205660069071507,10.054429771908762
2525,0.5588236001034801,0.7027267441516523
2526,0.7373662103590362,1.3951924029562552
2528,1.703111777244413,1.7469797974449566
2529,0.3411564529394756,0.5083559477726063
2530,1.4192872212208762,1.8897619436504698
2532,0.16211155417990947,0.3415105354658103
2533,1.22901585143784,1.755267393392278
